Institution,"Student Residence","Street Number and Name",City,Province,"Postal Code"
"University of Guelph","Building 157","31 University Avenue East",Guelph,ON,"N1G 2W1"
"University of Guelph","Building 170","23 University Avenue East",Guelph,ON,"N1G 2W1"
"University of Guelph","Building 185","5 College Avenue West",Guelph,ON,"N1G 2W1"
"University of Guelph","Building 199","7 University Avenue East",Guelph,ON,"N1G 2W1"
"University of Guelph","Dundas Hall","East Ring Road",Guelph,ON,"N1G 2W1"
"University of Guelph","East Village Townhouses","East Ring Road",Guelph,ON,"N1G 2W1"
"University of Guelph","Family Housing Residence #250","252 Stone Road West",Guelph,ON,"N1G 2W1"
"University of Guelph","Family Housing Residence #300","78 College Avenue West",Guelph,ON,"N1G 2W1"
"University of Guelph","Glengarry Hall","East Ring Road",Guelph,ON,"N1G 2W1"
"University of Guelph","Johnston Hall","Winegard Walk",Guelph,ON,"N1G 2W1"
"University of Guelph","Lambton Hall","Watson Lane",Guelph,ON,"N1G 2W1"
"University of Guelph","Lanark Hall","East Ring Road",Guelph,ON,"N1G 2W1"
"University of Guelph","Lennox Addington Hall","Lennox Lane",Guelph,ON,"N1G 2W1"
"University of Guelph","Maids Hall","Trent Lane",Guelph,ON,"N1G 2W1"
"University of Guelph","Maritime Hall","South Ring Road",Guelph,ON,"N1G 2W1"
"University of Guelph","Mills Hall","College Avenue",Guelph,ON,"N1G 2W1"
"University of Guelph","Mountain Hall","South Ring Road",Guelph,ON,"N1G 2W1"
"University of Guelph","Prairie Hall","South Ring Road",Guelph,ON,"N1G 2W1"
"University of Guelph","Watson Hall","Watson Lane",Guelph,ON,"N1G 2W1"
"University of Ottawa",Brooks,"85 - 95 Marie Curie",Ottawa,ON,"K1N 9N3"
"University of Ottawa",Brooks,"620 - 638 King Edward Ave",Ottawa,ON,"K1N 9N2"
"University of Ottawa",Brooks,"75 - 101 Louis Pasteur",Ottawa,ON,"KiN 9N1"
"University of Ottawa","Hyman Soloway","157 Laurier",Ottawa,ON,"K1N 1K5"
"University of Ottawa","Hyman Soloway","100 Thomas More",Ottawa,ON,"K1N 1E3"
"University of Ottawa","Le Blanc Hall","45 Louis Pasteur",Ottawa,ON,"K1N 9B2"
"University of Ottawa","Le Blanc Hall","90 University",Ottawa,ON,"K1N 1H3"
"University of Ottawa",Marchard,"110 University",Ottawa,ON,"K1N 9A8"
"University of Ottawa",Stanton,"100 University",Ottawa,ON,"K1N 9A7"
"University of Ottawa","Thompson Hall","45 University",Ottawa,ON,"K1N 9B1"
"University of Ottawa",Rideau,"290 Rideau",Ottawa,ON,"K1N 5Y3"
"University of Ottawa",Henderson,"202 Henderson",Ottawa,ON,"K1N 7P6"
"University of Ottawa",Friel,"240 Friel ",Ottawa,ON,"K1N 1H6"
"University of Ottawa",Mann,"45 Mann",Ottawa,ON,"K1N 6Y7"
"University of Toronto","Annesley Hall Victoria University","95 Queen's Park Crescent",Toronto,ON,"M5S 2C7"
"University of Toronto","Upper Burwash Hall, Victoria University","89 Charles Street West",Toronto,ON,"M5S 1K6"
"University of Toronto","Chestnut Residence","89 Chestnut Street",Toronto,ON,"M5G 1R1"
"University of Toronto","Brennan Hall","81 St. Mary's Street",Toronto,ON,"M5S 1J4"
"University of Toronto","Elmsley Hall, St Michael's College","81 St. Mary's Street",Toronto,ON,"M5S 1J4"
"University of Toronto","Erindale Hall, University of Toronto","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","Fisher House, St Michael's College","81 St. Mary's Street",Toronto,ON,"M5S 1J4"
"University of Toronto","Graduate House","60 Harbord Street",Toronto,ON,"M5S 3L1"
"University of Toronto","House 2, St Michael's College","Elmsley Place, 81 St. Mary's Street",Toronto,ON,"M5S 1J4"
"University of Toronto","House 6, St Michael's College","Elmsley Place, 81 St. Mary's Street",Toronto,ON,"M5S 1J4"
"University of Toronto","House 8, St Michael's College","Elmsley Place, 81 St. Mary's Street",Toronto,ON,"M5S 1J4"
"University of Toronto","House 96, St Michael's College","Elmsley Place, 81 St. Mary's Street",Toronto,ON,"M5S 1J4"
"University of Toronto","Innis College","111 St. George Street",Toronto,ON,"M5S 2E8"
"University of Toronto","Joan Foley Hall, University of Toronto at Scarborough (UTSC)","1295 Military Trail",Toronto,ON,"M1C 1A3"
"University of Toronto","Knox College","59 St. George Street",Toronto,ON,"M5S 2E6"
"University of Toronto","Leacock Lane, University of Toronto at Mississauga (UTM)","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","Loretto College, St Michael's College","70 St. Mary's Street",Toronto,ON,"M5S 1J3"
"University of Toronto","Lower Burwash Hall, Victoria University","89 Charles Street West",Toronto,ON,"M5S 1K6"
"University of Toronto","MaGrath Valley, University of Toronto at Mississauga (UTM)","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","Margaret Addison, Hall Victoria University","140 Charles Street West",Toronto,ON,"M5S 1K9"
"University of Toronto","Massey College","4 Devonshire Place",Toronto,ON,"M5S 2E1"
"University of Toronto","McLuhan Court, University of Toronto at Mississauga (UTM)","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","More House, St Michael's College","81 St. Mary's Street",Toronto,ON,"M5S 1J4"
"University of Toronto","Morrison Hall, University College","75 St. George Street",Toronto,ON,"M5S 2E5"
"University of Toronto","45 Willcocks Residence, New College","45 Willcocks Residence",Toronto,ON,"M5S 1C7"
"University of Toronto","Oscar Peterson Hall, University of Toronto at Mississauga (UTM)","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","Putnam Place, University of Toronto at Mississauga (UTM)","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","Rowell Jackman Hall, Victoria University","85 Charles Street West",Toronto,ON,"M5S 1K5"
"University of Toronto","Roy Ivor Hall, University of Toronto at Mississauga (UTM)","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","Sam Sorbara Hall, St Michael's College","70 St Joseph Street",Toronto,ON,"M5S 3L5"
"University of Toronto","Schreiberwood, University of Toronto at Mississauga (UTM)","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","Sir Daniel Wilson, University College","73 St. George Street",Toronto,ON,"M5S 2E5"
"University of Toronto","St. Hilda's College, Trinity College","44 Devonshire Place",Toronto,ON,"M5S 2E2"
"University of Toronto","Student Family Housing","30 Charles Street West",Toronto,ON,"M4Y 1R5"
"University of Toronto","Student Family Housing","35 Charles Street West",Toronto,ON,"M4Y 1R6"
"University of Toronto","Teefy Hall, St Michael's College","57 Queen's Park Crescent East",Toronto,ON,"M5S 2C4"
"University of Toronto","Trinity College","6 Hoskin Avenue",Toronto,ON,"M5S 1H8"
"University of Toronto","University of Toronto at Mississauga (UTM)","3359 Mississauga Road",Mississauga,ON,"L5L 1C6"
"University of Toronto","North Residence, University of Toronto at Scarborough (UTSC)","1235 Military Trail",Toronto,ON,"M1C 1A3"
"University of Toronto","South Residence, University of Toronto at Scarborough (UTSC)","1295 Military Trail",Toronto,ON,"M1C 1A3"
"University of Toronto","Victoria University","73 Queen's Park Crescent",Toronto,ON,"M5S 1K7"
"University of Toronto","Victoria University","85 Charles Street West",Toronto,ON,"M5S 1K5"
"University of Toronto","Wetmore Hall New College","21 Classic Avenue",Toronto,ON,"M5S 2Z3"
"University of Toronto","Whitney Hall, University College","85 St. George Street",Toronto,ON,"M5S 2E5"
"University of Toronto","Wilson Hall, New College","40 Willcocks Street",Toronto,ON,"M5S 1C6"
"University of Toronto","Woodsworth College","321 Bloor Street West",Toronto,ON,"M5S 1S5"
"University of Toronto","Wycliffe College","5 Hoskin Avenue",Toronto,ON,"M5S 1H7"
"University of Waterloo","Beck Hall","108 Seagram Drive",Waterloo,ON,"N2L 3B9"
"University of Waterloo","Columbia Lake Village Townhouses (North and South)","350 Columbia Street West",Waterloo,ON,"N2L 6G8"
"University of Waterloo","Conrad Grebel","140 Westmount Road North",Waterloo,ON,"N2L 3G3"
"University of Waterloo","Conrad Grebel - Apartment Building","140 Westmount Road North",Waterloo,ON,"N2L 3G3"
"University of Waterloo","Conrad Grebel - Residence Building","140 Westmount Road North",Waterloo,ON,"N2L 3G3"
"University of Waterloo","Eby Hall","159 University Avenue West",Waterloo,ON,"N2L 3E8"
"University of Waterloo","Mackenzie King Village","PO Box 1666",Waterloo,ON,"N2J 4Z2"
"University of Waterloo","Minota Hagey Residence","200 University Avenue West ",Waterloo,ON,"N2L 3G1"
"University of Waterloo","Renison University College","240 Westmount Road North",Waterloo,ON,"N2L 3G4"
"University of Waterloo","Ron Eydt Village","PO Box 16610",Waterloo,ON,"N2J 4C1"
"University of Waterloo","St. Jerome's University College","290 University Avenue West",Waterloo,ON,"N2L 3E5"
"University of Waterloo","St. Jerome's J.R. Finn Residence","290 University Avenue West",Waterloo,ON,"N2L 3E5"
"University of Waterloo","St. Jerome Sweeney Hall","290 University Avenue West",Waterloo,ON,"N2L 3E5"
"University of Waterloo","St. Paul's College","190 Westmount Road",Waterloo,ON,"N2L 3G5"
"University of Waterloo","Village 1","PO Box 16460",Waterloo,ON,"N2J 4B6"
"University of Waterloo","Waterloo Court North","106 Seagram Drive ",Waterloo,ON,N2L3B8
"University of Waterloo","Waterloo Court South","104 Seagram Drive","Waterloo ",ON,"N2L 3B8"
"University of Waterloo","Wellesley Court North","155 University Avenue West",Waterloo,ON,"N2L 3E5"
"University of Waterloo","Wellesley Court South","157 University Avenue West",Waterloo,ON,"N2L 3E5"
"University of Waterloo","Wilmot Court North","163 University Avenue West",Waterloo,ON,"N2L 3E5"
"University of Waterloo","Wilmot Court South","161 University Avenue West",Waterloo,ON,"N2L 3E5"
"University of Waterloo","Woolwich Court North","100 Seagram Drive",Waterloo,ON,"N2L 3B8"
"University of Waterloo","Woolwich Court South","102 Seagram Drive",Waterloo,ON,"N2L 3B8"
"University of Waterloo","New Residence Building","165 University Avenue West",Waterloo,ON,"N2L 3E8"
"University of Western Ontario","Alumni House","1151 Richmond Street",London,ON,"N6A 5B7"
"University of Western Ontario","Ausable Hall","271, 273, 275, 277, 279, 281, 283, 285, 287 Windermere Road",London,ON,"N6G 2J7"
"University of Western Ontario","Bayfield Hall","292 Windermer Road",London,ON,"N6G 2J9"
"University of Western Ontario","Beaver Hall","271, 273, 275, 277, 279, 281, 283, 285, 287 Windermere Road",London,ON,"N6G 2J7"
"University of Western Ontario","Deleware Hall","1151 Richmond Street",London,ON,"N6A 5B7"
"University of Western Ontario","Elgin Hall","1151 Richmond Street",London,ON,"N6A 5B9"
"University of Western Ontario","Essex Hall","1200 Western Road",London,ON,"N6G 5E3"
"University of Western Ontario","Lampton Hall","1421 Western Road",London,ON,"N6J 4W4"
"University of Western Ontario","London Hall","1140 Western Road",London,ON,"N6G 0A3"
"University of Western Ontario","Medway-Sydenham Hall","1151 Richmond Street",London,ON,"N6A 5B9"
"University of Western Ontario","Ontario Hall","230 Sarnia Road",London,ON,"N6G 0N2"
"University of Western Ontario","Perth Hall","1125 Western Road",London,ON,"N6G 5K8"
"University of Western Ontario","Platt's Lanes Estates","401-453 Platt's Lane",London,ON,"N6G 3H1"
"University of Western Ontario","Platt's Lanes Estates","455-463 Platt's Lane",London,ON,"N6G 3H2"
"University of Western Ontario","Platt's Lanes Estates","400-462 Platt's Lane",London,ON,"N6G 1J2"
"University of Western Ontario","Platt's Lanes Estates","464-526 Platt's Lane",London,ON,"N6G 5E4"
"University of Western Ontario","Platt's Lanes Estates","528-530 Platt's Lane",London,ON,"N6G 3B1"
"University of Western Ontario","Platt's Lanes Estates","556-622 Platt's Lane",London,ON,"N6G 3B1"
"University of Western Ontario","Platt's Lanes Estates","624-698 Platt's Lane",London,ON,"N6G 3B2"
"University of Western Ontario","Platt's Lanes Estates","532-542 Platt's Lane",London,ON,"N6G 3A8"
"University of Western Ontario","Platt's Lanes Estates","544-554 Platt's Lane",London,ON,"N6G 3A9"
"University of Western Ontario","Platt's Lanes Estates","700-762 Platt's Lane",London,ON,"N6G 5E5"
"University of Western Ontario","Saugeen-Maitland Hall","289 Windermere Road",London,ON,"N6G 2J8"
"University of Western Ontario/Brecia University College","Clare Hall","271 Ramsay Road",London,ON,"N6G 1N7"
"University of Western Ontario/Huron University College","Benson House","1349 Western Road",London,ON,"N6G 1H3"
"University of Western Ontario/Huron University College","Brough Hall","1349 Western Road",London,ON,"N6G 1H3"
"University of Western Ontario/Huron University College","Cronyn House","1349 Western Road",London,ON,"N6G 1H3"
"University of Western Ontario/Huron University College","Hellmuth Hall","1349 Western Road",London,ON,"N6G 1H3"
"University of Western Ontario/Huron University College","Henderson House","1349 Western Road",London,ON,"N6G 1H3"
"University of Western Ontario/Huron University College","O'Neil, Ridley Hall Residence","1349 Western Road",London,ON,"N6G 1H3"
"University of Western Ontario/Huron University College","The Southwest Residence","1349 Western Road",London,ON,"N6G 1H3"
"University of Western Ontario/Huron University College","Young House","1349 Western Road",London,ON,"N6G 1H3"
"University of Western Ontario/King's Unviersity College","Dante Lenardon Hall","266 Epworth Avenue",London,ON,"N6A 2M3"
"University of Western Ontario/King's Unviersity College","Elizabeth A. 'Bessie' Labatt Hall","266 Epworth Avenue",London,ON,"N6A 2M3"
"University of Western Ontario/King's Unviersity College","King's Alumni Court","266 Epworth Avenue",London,ON,"N6A 2M3"
"University of Western Ontario/King's Unviersity College","Monsignor Wemple Building","266 Epworth Avenue",London,ON,"N6A 2M3"
"University of Western Ontario/King's Unviersity College","Town Houses 1-10","266 Epworth Avenue",London,ON,"N6A 2M3"
"University of Windsor","Alumni Hall","750 Sunset Avenue",Windsor,ON,"N9B 3P4"
"University of Windsor","Cartier Hall","2750 Wyandotte Street",Windsor,ON,"N9B 3P4"
"University of Windsor","Laurier Hall","470 Huron Line",Windsor,ON,"N9B 3P4"
"University of Windsor","MacDonald Hall","460 Huron Line",Windsor,ON,"N9B 3P4"
"University of Windsor/Canterbury College","Anselm House","2559 Riverside Drive",Windsor,ON,"N9B 1B3"
"University of Windsor/Canterbury College","Augustine House","172 Patricia Road",Windsor,ON,"N9B 3B9"
"University of Windsor/Canterbury College","Becket House","2585 Riverside Drive West",Windsor,ON,"N9B 1B3"
"University of Windsor/Canterbury College","Cranmer House","2541 Riverside Drive West",Windsor,ON,"N9B 1B3"
"University of Windsor/Canterbury College","Geoffrey Fisher Hall","270 Patricia Road",Windsor,ON,"N9B 3B9"
"University of Windsor/Canterbury College","Kingston House","240 Patricia Road",Windsor,ON,"N9B 3B9"
"University of Windsor/Canterbury College","Langton House","226 Patricia Road",Windsor,ON,"N9B 3B9"
"University of Windsor/Canterbury College","Laud House","145 Sunset Avenue",Windsor,ON,"N9B 3P4"
"University of Windsor/Canterbury College","Parker House","105 Sunset Avenue",Windsor,ON,"N9B 3P4"
"University of Windsor/Canterbury College","Rayson House","210 Patricia Road",Windsor,ON,"N9B 3B9"
"University of Windsor/Canterbury College","Wake House","165 Sunset Avenue",Windsor,ON,"N9B 3P4"
"University of Windsor/Canterbury College","Whitgift House","125 Sunset Avenue",Windsor,ON,"N9B 3P4"
"Upper Canada College",,"200 Lonsdale Road",Toronto,ON,"M4V 1W6"
"Venta Preparatory School",,"2013 Old Carp Road",Ottawa,ON,"K0A 1L0"
"Wilfrid Laurier University","Bouckaert Hall Residence","75 University Avenue West",Waterloo,ON,"N2L 3C5"
"Wilfrid Laurier University","Bricker Residence","44 Bricker Avenue",Waterloo,ON,"N2L 3B4"
"Wilfrid Laurier University","Bricker Residence","102 Albert Street",Waterloo,ON,"N2L 3S8"
"Wilfrid Laurier University","Bricker Residence","181, 183 Albert Street",Waterloo,ON,"N2L 3T4"
"Wilfrid Laurier University","Bricker Residence","195, 201, 205 Regina Street North",Waterloo,ON,"N2J 3B5"
"Wilfrid Laurier University","Clara Conrad Residence","25 University Avenue West",Waterloo,ON,"N2L 3C3"
"Wilfrid Laurier University","Conestogo House Residence","205 Sunview Street",Waterloo,ON,"N2L 3V7"
"Wilfrid Laurier University","Erza Bricker Residence","12, 14 Lodge Street",Waterloo,ON,"N2J 2V4"
"Wilfrid Laurier University","Ezra Bricker Residences","128, 130 Albert Street",Waterloo,ON,"N2L 3T1"
"Wilfrid Laurier University","Ezra Bricker Residences","148 Albert Street",Waterloo,ON,"N2L 3T3"
"Wilfrid Laurier University","Ezra Bricker Residences","33, 47 Bricker Avenue",Waterloo,ON,"N2L 3B5"
"Wilfrid Laurier University","Ezra Bricker Residences","28, 30 Ezra Avenue",Waterloo,ON,"N2L 3B1"
"Wilfrid Laurier University","Ezra Bricker Residences","61, 63, 65 Ezra Avenue",Waterloo,ON,"N2L 3A9"
"Wilfrid Laurier University","Ezra Bricker Residences","72 Hickory Street",Waterloo,ON,"N2L 3J4"
"Wilfrid Laurier University","Ezra Bricker Residences","16, 18 Lodge Street",Waterloo,ON,"N2L 2V4"
"Wilfrid Laurier University","Ezra Bricker Residences","83, 89 Seagram",Waterloo,ON,"N2L 3B6"
"Wilfrid Laurier University","Ezra Bricker Residences","93, 95 Seagram",Waterloo,ON,"N2L 3B6"
"Wilfrid Laurier University","Ezra-Bricker Student Apartments","19, 33, 39, 41, 43, 55 Ezra",Waterloo,ON,"N2L 3A9"
"Wilfrid Laurier University","Ezra-Bricker Student Apartments","52, 54, 60, 68 Ezra",Waterloo,ON,"N2L 3B2"
"Wilfrid Laurier University","Ezra-Bricker Student Apartments","53 Bricker Avenue",Waterloo,ON,"N2L 3B5"
"Wilfrid Laurier University","Ezra-Bricker Student Apartments","62 Hickory Street West, Waterloo",Waterloo,ON,"N2L 3J4"
"Wilfrid Laurier University","Grand River Hall","171 Colborne Street",Brantford,ON,"N3T 6C9"
"Wilfrid Laurier University","Heidelberg House Residence","190 Lester Street",Waterloo,ON,"N2L 3W4"
"Wilfrid Laurier University","King Street Residence","200 King Street North",Waterloo,ON,"N2J 4Z4"
"Wilfrid Laurier University","Lawyers Hall","76 Colborne Street",Brantford,ON,"N3T 2G5"
"Wilfrid Laurier University","Leupold Residence","75 University Avenue West",Waterloo,ON,"N2L 3C5"
"Wilfrid Laurier University","Little House Residence","75 University Avenue West",Waterloo,ON,"N2L 3C5"
"Wilfrid Laurier University","Lucy Marco Place","40 Queen Street",Brantford,ON,"N3T 3B2"
"Wilfrid Laurier University","Macdonald House Residence","75 University Avenue West",Waterloo,ON,"N2L 3C5"
"Wilfrid Laurier University","Nils Willison Residence","75 University Avenue West",Waterloo,ON,"N2L 3C5"
"Wilfrid Laurier University","Post House Residence","41 George Street",Brantford,ON,"N3T 2Y2"
"Wilfrid Laurier University","Regina Residence","209 Regina Street North",Waterloo,ON,"N2J 3B5"
"Wilfrid Laurier University","Regina Residence","80 Seagram Drive",Waterloo,ON,"N2L 3B7"
"Wilfrid Laurier University","Regina Residence","83, 89 Seagram Drive",Waterloo,ON,"N2L 3B6"
"Wilfrid Laurier University","St. Agatha House Residence","172, 174, 176, 178, 180, 182 Sunview Street",Waterloo,ON,"N2L 3V6"
"Wilfrid Laurier University","St. Clements House Residence","188 Lester Street",Waterloo,ON,"N2L 3W4"
"Wilfrid Laurier University","St. Jacobs House Residence","186, 188, 190, 192, 194, 196, 198, 200 Sunview Street",Waterloo,ON,"N2L 3V6"
"Wilfrid Laurier University","W. Euler Residence","75 University Avenue West",Waterloo,ON,"N2L 3C5"
"Wilfrid Laurier University","Waterloo College Hall","88 Seagram Drive",Waterloo,ON,"N2L 6N7"
"Wilfrid Laurier University","Wilkes House Residence","119 Darling Street",Brantford,ON,"N3T 2K8"
"York University",Calumet,"4700 Keele Street",Toronto,ON,"M3J 1P3"
"York University",Founders,"4700 Keele Street",Toronto,ON,"M3J 1P3"
"York University",Hilliard,"2275 Bayview Avenue",Toronto,ON,"M4N 3M6"
"York University","Norman Bethune","4700 Keele Street",Toronto,ON,"M3J 1P3"
"York University","Pond Road","4700 Keele Street",Toronto,ON,"M3J 1P3"
"York University",Stong,"4700 Keele Street",Toronto,ON,"M3J 1P3"
"York University","Tatham Hall","4700 Keele Street",Toronto,ON,"M3J 1P3"
"York University",Vanier,"4700 Keele Street",Toronto,ON,"M3J 1P3"
"York University",Winters,"4700 Keele Street",Toronto,ON,"M3J 1P3"
"York University",Wood,"2275 Bayview Avenue",Toronto,ON,"M4N 3M6"
"York University","York Apartments","90 Atkinson Road",Toronto,ON,"M3J 2S5"
"York University","York Apartments","2, 4 Passy Crescent",Toronto,ON,"M3J 3K8"
"York University","York Apartments","6, 8 Passy Crescent",Toronto,ON,"M3J 3K9"
"York University","York Apartments","10 Passy Crescent",Toronto,ON,"M3J 3L1"
"York University","York Apartments","12, 14 Passy Crescent",Toronto,ON,"M3J 3L2"
"York University","York Apartments","16, 18 Passy Crescent",Toronto,ON,"M3J 3L3"
"York University","York Apartments","320 Assiniboine Road",Toronto,ON,"M3J 1L1"
"York University","York Apartments","340 Assiniboine Road",Toronto,ON,"M3J 1L2"
"York University","York Apartments","360 Assiniboine Road",Toronto,ON,"M3J 1L3"
"York University","York Apartments","380 Assiniboine Road",Toronto,ON,"M3J 1L4"
